Akaike Kaoru
Asari Masahiko
Asuhara Taheiji
Etsuko Takanibu
Harada Sukenobu
Hosokawa Mutsohito
Iitaka Isao
Imoo Hyobe
Iwahashi Norinaga
Kanada Tsutomu
Katayama Norihide
Kato Kohei
Kawagishi Shigeki
Kawamata Tadahisa
Kawayama Kensaku
Kawayama Tabito
Kazuyoshi Jiro
Kenmotsu Toyoharu
Kiski Senzo
Kokan Kenzaburo
Komatsu Narihari
Kondo Hachemon
Kwakami Kenshin
Matsumura Shimpei
Matsuo Ukon
Mizumaki Matsudaira
Momotami Amane
Nakada Oda
Nakao Kiichi
Okasawa Hayato
Okazawaya Arinori
Okuma Kijuro
Otake Aritomo
Otsu Motoichi
Sasakawa Masakado
Shimizu Niou
Shiraishi Masao
Takashita Toshimichi
Takizawa Josuke
Takudome Hidetoshi
Tayama Ryushi
Teshigahara Yukichi
Toyotomi Sofu
Uetake Tatsui
Watabe Tetsu
Yamabe Hachiro
Yasuhiro Toshitsugu
Yoshida Eiji
Yoshida Shintaro
Yoshizaki Ikemoto
Aizawa Takamori
Akera Ichiyo
Fujiwara Yasotaro
Fumihiko Hokusai
Hori Shoichi
Horigoshi Tsutomu
Ii Harunobu
Iijima Masutaro
Isayama Ichiyo
Itoh Tsugiharu
Kasahara Tokugawa
Katayanagi Fukusaburu
Katayanagi Hisamitsu
Kawaii Ichisake
Kinugasa Mitsuoki
Koiso Munenori
Kyubei Matsu
Maeno Yoshio
Masuno ShinriKiyaru
Matsuzawa Yoshiaga
Miki Okyoito
Miura Okakura
Miyazawa Ryoma
Miyoshi Settan
Morri Toshiyuki
Nakano Naofumi
Nakayama Yuji
Narato Shinzo
Nishi Tetsuhiko
Nonomura Shimpei
Okakura Gengyo
Okimasa Ryoma
Sanda Saburo
Sanjo Izumo
Sano Soetsu
Shimohira Tatsuzo
Sohda Kiyonobu
Sugai Baiko
Sugitani Hoitsu
Takagaki Mobumasu
Takagaki Yasushi
Takewaki Yoshinaka
Tatsuno Ryu
Terauchi Yasuhide
Toyama Masafumi
Tsucgimoto Seiji
Tsunoda Ichiyo
Tsurimi Sumitomo
Yonai Koichi
Yuasa Azumamaro
Akechi Shunko
Anzai Takuma
Chiba Michinaga
Fukushima Atasuke
Hamaguchi Eizo
Handa Narihira
Hira Genjo
Hirano Yosuke
Hirayama Kobo
Hiyama Saionji
Horigoshi Yoritoki
Inaba Isoruko
Isayama Yoshimitsu
Isobe Orinosuke
Kajahara Masamune
Kajiwara Kenichi
Kamio Nariaki
Kasuse Ninsei
Kiski Hiroya
Komine Chikafusa
Maeno Yunosuke
Mifune Kyuwa
Morimoto Yatsuhiro
Munakata Genjo
Naito Shigochiyo
Nakanishi Shumei
Nakata Yoshisada
Nanami Hisanobu
Nanami Yoritomo
Nishimuraya Shigeaki
Obinata Ekiken
Ochida Masahiro
Saito Samba
Saji Kazuo
Saji Kikunojo
Shige Junichiro
Shigemitsu Tsuginori
Shinozuka Genpaku
Shinozuka Naomi
Suenami Konosuke
Sugimura Tokugawa
Tabuchi Tasuku
Tadeshi Tomokazu
Takabe Kata
Takagaki Hoitsu
Tange Sanraku
Togo Josuke
Tokuda Atsutane
Yano Shimpei
Yokoyama Shukishi
Akutagawa Heikichi
Aoki Harumi
Aoki Yoshiaki
Ashikaga Bunrakuken
Baba Nariaki
Chikamatsu Mitsuoki
Enoki Minoru
Fujikage Totoya
Fujimoto Seison
Fujita Sumitomo
Fukao Takesi
Hagiwara Takakazu
Hiraoka Yoringa
Hiroyuki Seiesnsui
Imagawa Kanko
Katayama Kijuro
Katayanagi Shichirobei
Kawamata Morie
Kawamura Kitahachi
Kitano Takeru
Kitao Chikafusa
Koizumi Shigemori
Kuwabara Yaichiro
Miyazaki Hideo
Nakadai Jou
Nakadai Sanetomo
Nakahara Eien
Nakanoi Jin
Nakao Benjiro
Nishihara Tsunesaburo
Ozaki Kanbe
Sakagami Kaii
Shimaoka Sosuke
Shimohira Eishi
Shionoya Sotaro
Shirahata Hoitsu
Shizuma Naoaki
Sugisata Kentaro?
Taguchi Torajiro
Takamura Keiji
Takeshita Tadayoshi
Tanaka Hirotaka
Tanaka Ichizo
Tanizaki Sozui
Tomika Isamu
Watabe Shuzo
Yamagata Osamu
